"Name","Category","Description","Generation_Prompt"
"Single Gold Coin","Treasure","A single, shiny antique gold coin.","Isometric 2D game sprite of a single, shiny antique gold coin. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Small Coin Stack","Treasure","A small, neat stack of antique gold coins.","Isometric 2D game sprite of a small, neat stack of antique gold coins. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Spilled Coin Pouch","Treasure","A leather pouch spilled open, revealing a mix of silver and gold coins.","Isometric 2D game sprite of a leather pouch spilled open, revealing a mix of silver and gold coins. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Small Wooden Chest","Treasure","A small, classic wooden treasure chest with iron bands, lid open, filled with glowing gold.","Isometric 2D game sprite of a small, classic wooden treasure chest with iron bands, lid open, filled with glowing gold. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Ornate Reliquary","Treasure","An ornate, closed golden reliquary box adorned with tiny rubies.","Isometric 2D game sprite of an ornate, closed golden reliquary box adorned with tiny rubies. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Large Treasure Hoard","Treasure","A chaotic, large pile of loose gold coins, pearls, and glowing emeralds.","Isometric 2D game sprite of a chaotic, large pile of loose gold coins, pearls, and glowing emeralds. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Overflowing Chalice","Treasure","An antique silver chalice overflowing with glowing pearls and coins.","Isometric 2D game sprite of an antique silver chalice overflowing with glowing pearls and coins. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Royal Crown","Treasure","A heavy royal golden crown set with large sapphires.","Isometric 2D game sprite of a heavy royal golden crown set with large sapphires. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Glowing Crystal","Treasure","A raw, glowing green crystalline gem chunk.","Isometric 2D game sprite of a raw, glowing green crystalline gem chunk. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"Smashed Crate","Treasure","A slightly smashed wooden crate, revealing stacked gold bars inside.","Isometric 2D game sprite of a slightly smashed wooden crate, revealing stacked gold bars inside. Warm dusty golden lighting, stylized fantasy realism, 4k resolution. Isolated on a solid neutral grey background."
"The Classic Scholar","Character (Top-Down)","A scholar holding a glowing lantern and a leather satchel. Wearing a long brown coat.","Top-down bird's eye view 2D game sprite of a scholar holding a glowing lantern and a leather satchel. Wearing a long brown coat. Warm dusty lighting, stylized fantasy realism, isolated on a solid neutral grey background."
