"Name","Category","Antiquarian_Description","Idle_Income","Generation_Prompt"
"Rusted Broadsword","Obvious","A common sword. Has seen better days, but testifies to the martial past of the upper levels. Good iron.","2 Gold/h","Isometric fantasy concept art of a highly rusted antique broadsword resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Gold Pince-nez","Obvious","Reading glasses designed to pinch the nose without temples. The lenses are surprisingly clear. Someone did a lot of reading down here.","3 Gold/h","Isometric fantasy concept art of antique gold pince-nez reading glasses resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dusty Grimoire","Obvious","A heavy book bound in splintered leather. The pages are damp and smell of mold; the writing is barely legible.","4 Gold/h","Isometric fantasy concept art of a thick dusty leather-bound spellbook resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dented Top Hat","Obvious","A formal hat for gentlemen. Someone must have descended into these vaults in full evening attire.","2 Gold/h","Isometric fantasy concept art of a battered antique black top hat resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Brass Compass","Obvious","A nautical instrument. However, the needle spins wildly. The magnetic fields down here are completely corrupted.","5 Gold/h","Isometric fantasy concept art of an ornate brass compass with a spinning needle resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Silver Goblet","Obvious","A drinking vessel made of pure silver, tarnished and scratched. Likely the loot of a long-dead thief.","6 Gold/h","Isometric fantasy concept art of a tarnished silver drinking goblet resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Heavy Pocket Watch","Obvious","A stopped mechanical watch. Curiously, the dial has 13 hours instead of 12.","7 Gold/h","Isometric fantasy concept art of an intricate antique pocket watch resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Ornate Tobacco Pipe","Obvious","A pipe carved from meerschaum in the shape of a dragon's head. Still smells faintly of dried herbs.","3 Gold/h","Isometric fantasy concept art of an ornate carved meerschaum tobacco pipe resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Large Wax Seal","Obvious","A massive copper stamp. The crest depicts a screaming tree. A long-forgotten noble family.","4 Gold/h","Isometric fantasy concept art of a heavy copper wax seal stamp resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Copper Coin","Obvious","A chunky, square coin. The face engraved on it is worn beyond recognition.","1 Gold/h","Isometric fantasy concept art of a chunky square antique copper coin resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Dusty Spyglass","Obvious","A collapsible brass telescope. Absolutely useless in the dark underground—a tragic find.","5 Gold/h","Isometric fantasy concept art of a collapsed brass spyglass telescope resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Colorful Quill","Obvious","The feather of a giant, exotic bird with a golden nib. The ink on it is pitch black and smells of sulfur.","2 Gold/h","Isometric fantasy concept art of an exotic brightly colored quill pen with a gold nib resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Broken Oil Lamp","Obvious","A ceramic lamp. The wick is burnt out. Whoever held it was evidently swallowed by the dark.","3 Gold/h","Isometric fantasy concept art of a cracked ceramic oil lamp resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Patched Rag Doll","Mysterious","A roughly stitched doll with button eyes. Something hard and cold is sewn into its belly. I'd better not open it.","8 Gold/h","Isometric fantasy concept art of a creepy patched burlap rag doll with button eyes resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Gear Casket","Mysterious","A solid wooden cube full of interlocking gears. There is no keyhole. Sometimes it clicks all by itself.","12 Gold/h","Isometric fantasy concept art of a strange wooden puzzle box completely covered in brass gears resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Crystal Tube Apparatus","Mysterious","A tangled web of glass tubes and purple crystals. Perhaps a device for distilling magic? Or a very complicated hookah.","15 Gold/h","Isometric fantasy concept art of a complex scientific instrument made of glass tubes and glowing purple crystals resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Clockwork Globe","Mysterious","A small copper globe driven by an internal clockwork mechanism. The continents depicted on it exist on no map known to me.","10 Gold/h","Isometric fantasy concept art of a ticking clockwork copper globe depicting an alien map resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Porcelain Mask","Mysterious","A smooth white half-mask. Sharp iron wires are attached to the inside, which must have dug deep into the wearer's face.","9 Gold/h","Isometric fantasy concept art of a smooth white porcelain mask with sharp iron wires on the inside resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Glowing Resin Egg","Mysterious","A massive piece of amber. Instead of a fly, a tiny, perfectly preserved human eye is trapped in the center.","18 Gold/h","Isometric fantasy concept art of a giant glowing amber egg with a tiny human eye trapped inside resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Onyx Obelisk","Mysterious","A miniature, pitch-black tower. Touching it sends an extreme shiver of cold and brings the sound of whispering water.","14 Gold/h","Isometric fantasy concept art of a miniature pitch-black onyx obelisk resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Mechanical Scarab","Mysterious","A jewel in the shape of a beetle. It has tiny hinges on its legs. A toy of the rich or an alchemist's spy?","11 Gold/h","Isometric fantasy concept art of a mechanical scarab beetle made of gold and lapis lazuli resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Smoke Vial","Mysterious","A sealed glass vial. Inside, a dense purple smoke swirls incessantly, as if a storm were trapped within.","16 Gold/h","Isometric fantasy concept art of a sealed glass vial filled with swirling purple storm clouds resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Asymmetrical Astrolabe","Mysterious","A navigational device for measuring stars, but the disks are elliptical and warped. Made for a sky with three moons.","13 Gold/h","Isometric fantasy concept art of a bizarre asymmetrical brass astrolabe resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
"Humming Iron Cube","Mysterious","A heavy, smooth block of cast iron. It vibrates gently and emits a low tone that causes headaches.","10 Gold/h","Isometric fantasy concept art of a heavy smooth iron cube emitting a faint distortion resting on a dark red velvet pedestal. Warm dusty golden lighting, dark stone background, stylized realism, 4k resolution."
